,id,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,postal_code,state,city,tags,lat,lon,county,basement,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,clubhouse,community_gym,community_outdoor_space,community_park,community_security_features,corner_lot,cul_de_sac,den_or_office,dining_room,disability_features,dishwasher,efficient,elevator,ensuite,family_room,farm,fenced_yard,fireplace,first_floor_master_bedroom,fixer_upper,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,granite_kitchen,groundscare,hardwood_floors,high_ceiling,hoa,investment_opportunity,lake,laundry_room,master_bathroom,master_bedroom,master_suite,medicalcare,modern_kitchen,new_construction,new_roof,no_hoa,open_floor_plan,open_kitchen,park,pets_allowed,playground,private_backyard,private_bathroom,private_parking,ranch,recreation_facilities,rental_property,shopping,single_story,solar_panels,solar_system,spa_or_hot_tub,swimming_pool,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,views,washer_dryer,water_view,white_kitchen
30,6736412924,350000,,0,,2.0,multi_family,2265.0,1232.0,1942.0,749 Linden Ave,07065,NJ,Rahway,"['community_outdoor_space', 'cul_de_sac', 'laundry_room', 'basement', 'two_or_more_stories']",40.624003,-74.274876,Union,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,9921823030,335000,2.0,2,1.0,,townhomes,510.0,,1988.0,777 Jefferson Ave Apt 1,07065,NJ,Rahway,"['central_air', 'den_or_office', 'dining_room', 'fireplace', 'washer_dryer', 'basement', 'garage_1_or_more', 'two_or_more_stories']",40.60509,-74.290891,Union,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32,6023528896,295000,1.0,1,1.0,,condos,,800.0,2008.0,1 Carriage City Plz Apt 515,07065,NJ,Rahway,"['city_view', 'community_gym', 'dining_room', 'disability_features', 'dishwasher', 'hardwood_floors', 'pets_allowed', 'recreation_facilities', 'view', 'washer_dryer', 'garage_1_or_more', 'high_ceiling', 'shopping']",40.606255,-74.275591,Union,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
33,9573721582,299000,1.0,1,3.0,,condos,,,,1 Carriage City Plz,07065,NJ,Rahway,"['garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more']",40.606192,-74.275512,Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5900458044,479900,5.0,2,2.0,,single_family,4356.0,,1898.0,432 Elm Ave,07065,NJ,Rahway,"['central_air', 'community_outdoor_space', 'dining_room', 'family_room', 'fireplace', 'hardwood_floors', 'washer_dryer', 'basement', 'garage_1_or_more', 'garage_2_or_more', 'private_backyard', 'water_view', 'park', 'views', 'lake', 'shopping']",40.60783,-74.285331,Union,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
35,6360081658,388900,4.0,2,,,single_family,4356.0,,,1199 Whelan Pl,07065,NJ,Rahway,"['central_air', 'dishwasher', 'forced_air', 'basement', 'big_yard']",40.596943,-74.266936,Union,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5028381276,369900,4.0,3,,,single_family,4356.0,,1925.0,152 Monroe St,07065,NJ,Rahway,"['den_or_office', 'basement', 'big_lot', 'shopping']",40.608702,-74.27087,Union,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5994219156,589000,4.0,3,,,single_family,11326.0,,1925.0,419 Central Ave,07065,NJ,Rahway,"['central_air', 'community_outdoor_space', 'community_security_features', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'modern_kitchen', 'open_kitchen', 'ensuite', 'park']",40.610217,-74.282963,Union,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,5855781742,550000,4.0,3,2.0,2.0,single_family,8999.0,2293.0,2007.0,435 Beechwood Rd,07065,NJ,Rahway,"['dining_room', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'private_bathroom', 'master_bedroom', 'first_floor_master_bedroom', 'lake', 'shopping']",40.60685,-74.303683,Union,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
39,6018411753,323000,1.0,1,1.0,,condos,,,2008.0,1 Carriage City Plz Apt 1515,07065,NJ,Rahway,"['community_gym', 'dishwasher', 'pets_allowed', 'recreation_facilities', 'washer_dryer', 'garage_1_or_more', 'master_bedroom', 'views']",40.606194,-74.275497,Union,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
